GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2646500,2646500,"Lawton village, Michigan",0.4338,0.0456
1600000US2646800,2646800,"Leland CDP, Michigan",0.3653,0.0662
1600000US2646880,2646880,"Lennon village, Michigan",0.4598,0.1874
1600000US2646940,2646940,"Leonard village, Michigan",0.4243,0.0547
1600000US2647100,2647100,"Le Roy village, Michigan",0.4936,0.2686
1600000US2647180,2647180,"Leslie city, Michigan",0.3644,0.0351
1600000US2647230,2647230,"Level Park-Oak Park CDP, Michigan",0.3772,0.0384
1600000US2647240,2647240,"Levering CDP, Michigan",0.3865,0.0964
1600000US2647260,2647260,"Lewiston CDP, Michigan",0.3858,0.0441
1600000US2647280,2647280,"Lexington village, Michigan",0.4802,0.0509
1600000US2647560,2647560,"Lincoln village, Michigan",0.4243,0.0525
1600000US2647800,2647800,"Lincoln Park city, Michigan",0.4056,0.0201
1600000US2647820,2647820,"Linden city, Michigan",0.3736,0.0287
1600000US2647980,2647980,"Litchfield city, Michigan",0.4121,0.0414
1600000US2649000,2649000,"Livonia city, Michigan",0.3849,0.0085
